Team,Last Game
Warriors,2019-06-14
Raptors,2019-06-14
Bucks,2019-05-26
Trail Blazers,2019-05-21
76ers,2019-05-13
Nuggets,2019-05-13
Rockets,2019-05-11
Celtics,2019-05-09
Spurs,2019-04-28
Clippers,2019-04-27
Jazz,2019-04-25
Thunder,2019-04-24
Nets,2019-04-24
Magic,2019-04-24
Pistons,2019-04-23
Pacers,2019-04-22
Kings,2019-04-11
Timberwolves,2019-04-11
Mavericks,2019-04-11
Bulls,2019-04-11
Knicks,2019-04-11
Grizzlies,2019-04-11
Hornets,2019-04-11
Heat,2019-04-11
Hawks,2019-04-11
Lakers,2019-04-10
Suns,2019-04-10
Pelicans,2019-04-10
Wizards,2019-04-10
Cavaliers,2019-04-10
Heat,2020-10-12
Lakers,2020-10-12
Celtics,2020-09-28
Nuggets,2020-09-27
Clippers,2020-09-16
Rockets,2020-09-13
Raptors,2020-09-12
Bucks,2020-09-09
Thunder,2020-09-03
Jazz,2020-09-02
Mavericks,2020-08-31
Trail Blazers,2020-08-30
Magic,2020-08-30
Pacers,2020-08-25
Nets,2020-08-24
76ers,2020-08-24
Grizzlies,2020-08-16
Pelicans,2020-08-14
Spurs,2020-08-14
Suns,2020-08-14
Kings,2020-08-14
Wizards,2020-08-14
Hornets,2020-03-12
Hawks,2020-03-12
Knicks,2020-03-12
Pistons,2020-03-12
Warriors,2020-03-11
Bulls,2020-03-11
Cavaliers,2020-03-11
Timberwolves,2020-03-11
Bucks,2021-07-21
Suns,2021-07-21
Hawks,2021-07-04
Clippers,2021-07-01
76ers,2021-06-21
Nets,2021-06-20
Jazz,2021-06-19
Nuggets,2021-06-14
Mavericks,2021-06-07
Lakers,2021-06-04
Trail Blazers,2021-06-04
Grizzlies,2021-06-03
Knicks,2021-06-03
Wizards,2021-06-03
Celtics,2021-06-02
Heat,2021-05-30
Warriors,2021-05-22
Pacers,2021-05-21
Spurs,2021-05-20
Hornets,2021-05-19
Kings,2021-05-17
Thunder,2021-05-17
Pelicans,2021-05-17
Timberwolves,2021-05-17
Bulls,2021-05-17
Pistons,2021-05-17
Magic,2021-05-17
Cavaliers,2021-05-17
Rockets,2021-05-17
Raptors,2021-05-17
Celtics,2022-06-17
Warriors,2022-06-17
Heat,2022-05-30
Mavericks,2022-05-27
Suns,2022-05-16
Bucks,2022-05-16
Grizzlies,2022-05-14
76ers,2022-05-13
Timberwolves,2022-04-30
Jazz,2022-04-29
Pelicans,2022-04-29
Raptors,2022-04-29
Nuggets,2022-04-28
Bulls,2022-04-28
Hawks,2022-04-27
Nets,2022-04-26
Clippers,2022-04-16
Cavaliers,2022-04-16
Spurs,2022-04-14
Hornets,2022-04-14
Trail Blazers,2022-04-11
Kings,2022-04-11
Thunder,2022-04-11
Lakers,2022-04-11
Pistons,2022-04-11
Magic,2022-04-11
Knicks,2022-04-11
Rockets,2022-04-11
Wizards,2022-04-11
Pacers,2022-04-11
Nuggets,2023-06-13
Heat,2023-06-13
Celtics,2023-05-30
Lakers,2023-05-23
76ers,2023-05-15
Warriors,2023-05-13
Knicks,2023-05-13
Suns,2023-05-12
Kings,2023-05-01
Grizzlies,2023-04-29
Hawks,2023-04-28
Bucks,2023-04-27
Cavaliers,2023-04-27
Clippers,2023-04-26
Timberwolves,2023-04-26
Nets,2023-04-23
Thunder,2023-04-15
Bulls,2023-04-15
Pelicans,2023-04-13
Raptors,2023-04-13
Trail Blazers,2023-04-10
Jazz,2023-04-10
Mavericks,2023-04-10
Spurs,2023-04-10
Wizards,2023-04-10
Rockets,2023-04-10
Pacers,2023-04-10
Magic,2023-04-10
Hornets,2023-04-10
Pistons,2023-04-10
